"Previous_Items1","Previous_Items2","Previous_Items3","Predicted_Items","support","confidence","lift"
"OZ","OZ","OZ,Play","OZ",0.107758620689655,0.943396226415094,1.7794140205553
"Puck Recovery",,"Medium,OZ,Play","OZ",0.105603448275862,0.942307692307692,1.77736085053158
"Puck Recovery","Play","OZ,OZ2,Play","OZ",0.101293103448276,0.94,1.7730081300813
"Play",,"Direct,OZ,OZ2,Play","OZ",0.101293103448276,0.94,1.7730081300813
"Puck Recovery",,"Medium,OZ2,Play","OZ",0.101293103448276,0.94,1.7730081300813
"Puck Recovery",,"Long,OZ2,Play","OZ",0.101293103448276,0.94,1.7730081300813
"OZ",,"Direct,OZ2,Play","OZ",0.15948275862069,0.936708860759494,1.76680045281466
"OZ",,"Direct,OZ,Play","OZ",0.157327586206897,0.935897435897436,1.76526996039191
"Puck Recovery",,"Direct,OZ,OZ2,Play","OZ",0.155172413793103,0.935064935064935,1.76369971491923
,,"Medium,OZ,Play","OZ",0.120689655172414,0.933333333333333,1.76043360433604
"OZ",,"OZ,OZ2,Play","OZ",0.178879310344828,0.932584269662921,1.75902073627478
"Puck Recovery","Play","OZ2,Play","OZ",0.118534482758621,0.932203389830509,1.758302328786
,,"Direct,OZ,OZ2,Play","OZ",0.174568965517241,0.931034482758621,1.75609756097561
,,"Medium,OZ2,Play","OZ",0.116379310344828,0.931034482758621,1.75609756097561
"Play",,"OZ,OZ2,Play","OZ",0.114224137931034,0.929824561403509,1.75381543289117
"OZ","OZ","Play","OZ",0.112068965517241,0.928571428571428,1.75145180023229
"Play",,"Direct,OZ2,Play","OZ",0.112068965517241,0.928571428571428,1.75145180023229
"OZ",,"Medium,OZ,Play","OZ",0.112068965517241,0.928571428571428,1.75145180023229
"Play",,"OZ2,Play","OZ",0.135775862068966,0.926470588235294,1.74748923959828
"OZ2",,"Play","OZ",0.107758620689655,0.925925925925926,1.74646190906354
"OZ2,Play",,"Play","OZ",0.107758620689655,0.925925925925926,1.74646190906354
"OZ",,"OZ2,Play","OZ",0.185344827586207,0.924731182795699,1.74420840982603
,,"lfw,OZ2,Play","OZ",0.105603448275862,0.924528301886792,1.74382574014419
"OZ,Puck Recovery",,"OZ,Play","OZ",0.131465517241379,0.924242424242424,1.74328652377433
"Puck Recovery",,"Direct,OZ,Play","OZ",0.155172413793103,0.923076923076923,1.74108818011257
"OZ2",,"OZ,Play","OZ",0.103448275862069,0.923076923076923,1.74108818011257
"OZ2,Play",,"OZ,Play","OZ",0.103448275862069,0.923076923076923,1.74108818011257
"OZ",,"Medium,OZ2,Play","OZ",0.101293103448276,0.92156862745098,1.73824326478559
"Play",,"Direct,OZ,Play","OZ",0.101293103448276,0.92156862745098,1.73824326478559
"Puck Recovery",,"OZ,OZ2,Play","OZ",0.176724137931034,0.921348314606741,1.73782771535581
,,"Direct,OZ,Play","OZ",0.174568965517241,0.920454545454546,1.73614190687361
"OZ",,"Medium,Play","OZ",0.116379310344828,0.915254237288136,1.72633319553535
"Direct",,"OZ2,Play","OZ",0.112068965517241,0.912280701754386,1.72072457566681
"Direct,Play",,"OZ2,Play","OZ",0.112068965517241,0.912280701754386,1.72072457566681
,,"OZ,OZ2,Play","OZ",0.200431034482759,0.911764705882353,1.71975131516021
,,"Direct,OZ2,Play","OZ",0.196120689655172,0.91,1.71642276422764
"Puck Recovery",,"Direct,OZ2,Play","OZ",0.172413793103448,0.909090909090909,1.71470805617147
"Puck Recovery","Play","OZ,Play","OZ",0.107758620689655,0.909090909090909,1.71470805617147
"Puck Recovery","OZ","OZ,Play","OZ",0.107758620689655,0.909090909090909,1.71470805617147
"Puck Recovery",,"OZ2,Play","OZ",0.202586206896552,0.903846153846154,1.70481550969356
"OZ","Play","Play","OZ",0.101293103448276,0.903846153846154,1.70481550969356
"Play",,"OZ,Play","OZ",0.120689655172414,0.903225806451613,1.70364542355101
,,"OZ2,Play","OZ",0.232758620689655,0.9,1.69756097560976
"Puck Recovery","OZ","Play","OZ",0.116379310344828,0.9,1.69756097560976
"OZ,Puck Recovery",,"Play","OZ",0.133620689655172,0.898550724637681,1.69482738305644
"OZ",,"Direct,Play","OZ",0.163793103448276,0.894117647058824,1.68646580583453
,,"OZ2,Play,Short","OZ",0.105603448275862,0.890909090909091,1.68041389504804
,,"Long,OZ,Play","OZ",0.103448275862069,0.888888888888889,1.67660343270099
,,"lfw,OZ,Play","OZ",0.103448275862069,0.888888888888889,1.67660343270099
"OZ",,"OZ,Play","OZ",0.1875,0.887755102040816,1.67446490791439
"Puck Recovery",,"OZ,Play","OZ",0.185344827586207,0.877551020408163,1.65521818483491
,,"OZ,Play","OZ",0.209051724137931,0.873873873873874,1.64828242877023
"Long",,"Direct,Play","OZ",0.103448275862069,0.872727272727273,1.64611973392461
"Long,Play",,"Direct,Play","OZ",0.103448275862069,0.872727272727273,1.64611973392461
,,"DZ,Puck Recovery","DZ",0.265086206896552,0.831081081081081,1.6409430707303
"OZ",,"Play","OZ",0.196120689655172,0.866666666666667,1.63468834688347
"OZ",,"bw,OZ2","OZ",0.101293103448276,0.854545454545454,1.61182557280118
"OZ",,"bw","OZ",0.105603448275862,0.844827586206897,1.59349593495935
"Direct",,"Long,Play","OZ",0.103448275862069,0.842105263157895,1.58836114676936
"Direct,Play",,"Long,Play","OZ",0.103448275862069,0.842105263157895,1.58836114676936
"Puck Recovery",,"Carried,Zone Entry","OZ",0.101293103448276,0.839285714285714,1.58304297328688
"Puck Recovery",,"Carried","OZ",0.101293103448276,0.839285714285714,1.58304297328688
"Long",,"Play","OZ",0.122844827586207,0.838235294117647,1.58106169296987
"Long,Play",,"Play","OZ",0.122844827586207,0.838235294117647,1.58106169296987
"Play",,"Long,Play","OZ",0.133620689655172,0.837837837837838,1.58031201933641
"Puck Recovery","Play","Long,Play","OZ",0.118534482758621,0.833333333333333,1.57181571815718
"Puck Recovery","Long","Play","OZ",0.107758620689655,0.833333333333333,1.57181571815718
"Puck Recovery","Long,Play","Play","OZ",0.107758620689655,0.833333333333333,1.57181571815718
"fw",,"Play","OZ",0.105603448275862,0.830508474576271,1.56648752928207
"fw,Play",,"Play","OZ",0.105603448275862,0.830508474576271,1.56648752928207
,,"Carried","OZ",0.112068965517241,0.825396825396825,1.55684604465092
,,"Carried,Zone Entry","OZ",0.112068965517241,0.825396825396825,1.55684604465092
"Puck Recovery",,"bw,Play","OZ",0.116379310344828,0.818181818181818,1.54323725055432
"OZ,Puck Recovery",,"Direct,OZ2","OZ",0.114224137931034,0.815384615384615,1.5379612257661
,,"bw,OZ2","OZ",0.122844827586207,0.814285714285714,1.53588850174216
,,"bw,Play","OZ",0.131465517241379,0.813333333333333,1.53409214092141
"OZ,Puck Recovery",,"Direct,OZ,OZ2","OZ",0.112068965517241,0.8125,1.53252032520325
,,"Long,OZ2","OZ",0.118534482758621,0.808823529411765,1.52558584409374
"Puck Recovery",,"bw,OZ2","OZ",0.107758620689655,0.806451612903226,1.5211119853134
,,"Direct,Long,Play","OZ",0.142241379310345,0.804878048780488,1.51814396192742
"Direct",,"Direct,Play","OZ",0.157327586206897,0.802197802197802,1.51308853747878
"Direct,Play",,"Direct,Play","OZ",0.157327586206897,0.802197802197802,1.51308853747878
,,"Faceoff Win","Puck Recovery",0.120689655172414,1,1.11270983213429
,,"Backhand","Puck Recovery",0.112068965517241,1,1.11270983213429
,,"Faceoff Win,Backhand","Puck Recovery",0.112068965517241,1,1.11270983213429
